,num_to_shelf,sim_thresh,merge_sim_thresh,batch_size,eons,i,size,std,num,is_shuffle,classifications,class_centers,error
290,6,0.93,0.87,32,64,1,10000,1.0,6,True,,,0.12110043350738801
291,6,0.93,0.87,32,64,1,10000,1.0,6,False,,,0.070758735738165
292,10,0.93,0.87,32,64,1,10000,1.0,10,True,,,0.268669301131509
293,10,0.93,0.87,32,64,1,10000,1.0,10,False,,,0.253725422246252
294,20,0.93,0.87,32,64,1,10000,1.0,20,True,,,0.371411334964146
295,20,0.93,0.87,32,64,1,10000,1.0,20,False,,,1.2281667241898
296,50,0.93,0.87,32,64,1,10000,1.0,50,True,,,1.158269747460372
297,50,0.93,0.87,32,64,1,10000,1.0,50,False,,,1.501570300050778
298,100,0.93,0.87,32,64,1,10000,1.0,100,True,,,2.5901363110675
299,100,0.93,0.87,32,64,1,10000,1.0,100,False,,,2.846429365927857
300,4,0.93,0.87,32,64,1,10000,1.2,4,True,,,0.006430997244471001
301,4,0.93,0.87,32,64,1,10000,1.2,4,False,,,0.20534102145415903
302,6,0.93,0.87,32,64,1,10000,1.2,6,True,,,0.137954425120095
303,6,0.93,0.87,32,64,1,10000,1.2,6,False,,,0.20308859425911102
304,10,0.93,0.87,32,64,1,10000,1.2,10,True,,,0.26413891881546203
305,10,0.93,0.87,32,64,1,10000,1.2,10,False,,,0.253647123860605
306,20,0.93,0.87,32,64,1,10000,1.2,20,True,,,0.5105736931726991
307,20,0.93,0.87,32,64,1,10000,1.2,20,False,,,1.251514353013334
308,50,0.93,0.87,32,64,1,10000,1.2,50,True,,,1.43156868625364
309,50,0.93,0.87,32,64,1,10000,1.2,50,False,,,1.627784581897597
310,100,0.93,0.87,32,64,1,10000,1.2,100,True,,,2.869669108273972
311,100,0.93,0.87,32,64,1,10000,1.2,100,False,,,2.9712104384720073
312,4,0.93,0.87,32,64,1,10000,1.5,4,True,,,0.022258367192599
313,4,0.93,0.87,32,64,1,10000,1.5,4,False,,,0.204252652312562
314,6,0.93,0.87,32,64,1,10000,1.5,6,True,,,0.20249722895435301
315,6,0.93,0.87,32,64,1,10000,1.5,6,False,,,0.24767491306361103
316,10,0.93,0.87,32,64,1,10000,1.5,10,True,,,0.287844134557634
317,10,0.93,0.87,32,64,1,10000,1.5,10,False,,,0.388309294962058
318,20,0.93,0.87,32,64,1,10000,1.5,20,True,,,0.7307738299722081
319,20,0.93,0.87,32,64,1,10000,1.5,20,False,,,1.156282240824446
320,50,0.93,0.87,32,64,1,10000,1.5,50,True,,,1.611712194224089
321,50,0.93,0.87,32,64,1,10000,1.5,50,False,,,1.705484031965299
322,100,0.93,0.87,32,64,1,10000,1.5,100,True,,,3.109251073802529
323,100,0.93,0.87,32,64,1,10000,1.5,100,False,,,3.040750070152674
324,4,0.93,0.87,32,64,1,10000,2.0,4,True,,,0.066559801229745
325,4,0.93,0.87,32,64,1,10000,2.0,4,False,,,0.181869414022323
326,6,0.93,0.87,32,64,1,10000,2.0,6,True,,,0.335054829424747
327,6,0.93,0.87,32,64,1,10000,2.0,6,False,,,0.338113820904815
328,10,0.93,0.87,32,64,1,10000,2.0,10,True,,,0.476148372185254
329,10,0.93,0.87,32,64,1,10000,2.0,10,False,,,0.48426073341478204
330,20,0.93,0.87,32,64,1,10000,2.0,20,True,,,1.19257229865189
331,20,0.93,0.87,32,64,1,10000,2.0,20,False,,,1.113411441194536
332,50,0.93,0.87,32,64,1,10000,2.0,50,True,,,1.825099136062622
333,50,0.93,0.87,32,64,1,10000,2.0,50,False,,,1.92861120674978
334,100,0.93,0.87,32,64,1,10000,2.0,100,True,,,3.121341281066148
335,100,0.93,0.87,32,64,1,10000,2.0,100,False,,,3.047871073936768
336,4,0.93,0.87,32,64,1,50000,1.0,4,True,,,0.004496398456159001
337,4,0.93,0.87,32,64,1,50000,1.0,4,False,,,0.007062158292714
338,6,0.93,0.87,32,64,1,50000,1.0,6,True,,,0.06548246367764901
339,6,0.93,0.87,32,64,1,50000,1.0,6,False,,,0.11578997039230901
340,10,0.93,0.87,32,64,1,50000,1.0,10,True,,,0.21546354315856503
341,10,0.93,0.87,32,64,1,50000,1.0,10,False,,,0.24274910992487003
342,20,0.93,0.87,32,64,1,50000,1.0,20,True,,,0.39512777009194805
343,20,0.93,0.87,32,64,1,50000,1.0,20,False,,,0.559604496012548
344,50,0.93,0.87,32,64,1,50000,1.0,50,True,,,1.112829881247633
345,50,0.93,0.87,32,64,1,50000,1.0,50,False,,,1.495160697234908
346,100,0.93,0.87,32,64,1,50000,1.0,100,True,,,2.4627489484121172
347,100,0.93,0.87,32,64,1,50000,1.0,100,False,,,2.565054729691788
